method,train_start,train_end,test_start,test_end,cumulative_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
drl,2005-01-01,2010-01-01,2011-01-01,2012-01-01,0.08690342327196743,0.07935442564301032,0.20843637997337117,0.47067749524622865,0.5934822026404258,-0.18231026511254844,0.4352712974994645
mvo,2005-01-01,2010-01-01,2011-01-01,2012-01-01,0.13825396781309562,0.12599259122618478,0.20676737316085697,0.678155092650141,0.8074038085244203,-0.2313020678715363,0.5447101808711899
drl,2006-01-01,2011-01-01,2012-01-01,2013-01-01,0.20353238999240597,0.18724888191258482,0.12343619780109805,1.45228033571407,2.3455268357857015,-0.07777483258961604,2.4075767915903556
mvo,2006-01-01,2011-01-01,2012-01-01,2013-01-01,0.06654504545469675,0.061504667836739024,0.11573887547908425,0.5733315180881982,0.9860132929959375,-0.10345418627337288,0.5945111556357496
drl,2007-01-01,2012-01-01,2013-01-01,2014-01-01,0.2742996648288236,0.2507593435729807,0.10033302243174243,2.281096799403673,3.2146784032474156,-0.06267105663389139,4.001198592164386
mvo,2007-01-01,2012-01-01,2013-01-01,2014-01-01,0.24846386875976,0.22733308440493083,0.11195122291032998,1.8863355611824868,2.6907451977487638,-0.07643100297347205,2.97435694365851
drl,2008-01-01,2013-01-01,2014-01-01,2015-01-01,0.13671827356565003,0.12412204326012755,0.09492474590404731,1.2802230068520606,1.7140732369178977,-0.0655055471002246,1.8948325562447208
mvo,2008-01-01,2013-01-01,2014-01-01,2015-01-01,0.15300164887574974,0.1388156135930203,0.11264102232837117,1.2104460322636048,1.7247359939813185,-0.07772406800115261,1.78600550849914
drl,2009-01-01,2014-01-01,2015-01-01,2016-01-01,-0.017460310693696912,-0.015954202363910097,0.13147108607865343,-0.05675048374125865,-0.08386914365276016,-0.11123247672614212,-0.14343115278454016
mvo,2009-01-01,2014-01-01,2015-01-01,2016-01-01,-0.06473798594967373,-0.059279008262481336,0.14994820331889358,-0.33254252259515743,-0.46212277057584217,-0.1653998727284084,-0.3583981491921657
drl,2010-01-01,2015-01-01,2016-01-01,2017-01-01,0.12152241779231354,0.11081619387422803,0.12134151390568515,0.9268027291972999,1.302218616835088,-0.10367270447555732,1.0689042447074864
mvo,2010-01-01,2015-01-01,2016-01-01,2017-01-01,0.13672028266536618,0.12460223879431398,0.14440031238645876,0.8853347233397814,1.3101962097684656,-0.14789287987216704,0.8425168196198181
drl,2011-01-01,2016-01-01,2017-01-01,2018-01-01,0.1626960148556773,0.14929184108085747,0.06124784522424686,2.302992973396796,3.363793240674877,-0.023860963488418374,6.256739848469266
mvo,2011-01-01,2016-01-01,2017-01-01,2018-01-01,0.20074137812838444,0.1839625861526637,0.07535752377520206,2.2791942866468093,3.1131625564169974,-0.027335551183232276,6.7297924567003795
drl,2012-01-01,2017-01-01,2018-01-01,2019-01-01,-0.054575467810004774,-0.05048523223571366,0.13297905530610668,-0.3230891847963479,-0.39150700306695724,-0.1737021005987751,-0.2906426120448981
mvo,2012-01-01,2017-01-01,2018-01-01,2019-01-01,-0.12138555104100857,-0.1125956657370688,0.14994399838421127,-0.7212779595952606,-0.8360795039298056,-0.20736044673104936,-0.5429949033776322
drl,2013-01-01,2018-01-01,2019-01-01,2020-01-01,0.17431633297445126,0.1592628484034666,0.12189243030745878,1.2735173553122305,1.5886316234803064,-0.13971330785772207,1.1399261161696417
mvo,2013-01-01,2018-01-01,2019-01-01,2020-01-01,0.07382234165688795,0.06769893450032782,0.11423487787505898,0.6307637767747419,0.7264445797461245,-0.08880756462656803,0.7623104493969508
drl,2014-01-01,2019-01-01,2020-01-01,2021-01-01,0.16041210110045512,0.14493496564838293,0.3070611395283902,0.5953930462278247,0.6587895668452607,-0.34233511692769036,0.4233715984182738
mvo,2014-01-01,2019-01-01,2020-01-01,2021-01-01,0.0031226075096502104,0.0028403838805082238,0.3489824256631569,0.18394807766327,0.20546978699691595,-0.35385018692929704,0.008027080344812032
