,nav
2013-11-25,100000.0
2013-11-26,100135.75149059846
2013-11-27,100527.3204742516
2013-11-29,100250.30793619934
2013-12-02,99781.90403100416
2013-12-03,99198.08259480102
2013-12-04,98948.18236987178
2013-12-05,98514.1159700071
2013-12-06,99613.54775168344
2013-12-09,99803.06526096624
2013-12-10,99572.13354643408
2013-12-11,98380.74927522811
2013-12-12,97799.45474426282
2013-12-13,97809.77918464596
2013-12-16,98819.12057038488
2013-12-17,98854.51618958244
2013-12-18,100117.6580433341
2013-12-19,100051.91840993872
2013-12-20,101045.56218268613
2013-12-23,101720.58283463164
2013-12-24,102086.25714134955
2013-12-26,102539.45345313361
2013-12-27,102434.37143872853
2013-12-30,102439.42332231118
2013-12-31,102924.42542618279
2014-01-02,101715.95965733907
2014-01-03,101764.75198404655
2014-01-06,101280.33741199
2014-01-07,102123.97542283418
2014-01-08,102354.18402403661
2014-01-09,102476.30759023438
2014-01-10,102876.31116183191
2014-01-13,101813.37593409259
2014-01-14,103192.38273717788
2014-01-15,103947.51750121581
2014-01-16,103972.6196230292
2014-01-17,103672.82323207518
2014-01-21,104225.98026519864
2014-01-22,104326.76399031222
2014-01-23,103766.93001746973
2014-01-24,101425.34417840783
2014-01-27,100345.26272959461
2014-01-28,100910.9775615734
2014-01-29,100049.6560200931
2014-01-30,101807.48151544142
2014-01-31,101133.74749661193
2014-02-03,98852.36796675551
2014-02-04,99834.70834862383
2014-02-05,99255.14668223893
2014-02-06,99690.48712425253
2014-02-07,101400.85332055131
2014-02-10,102221.36249344732
2014-02-11,103421.58924380547
2014-02-12,103485.45419487005
2014-02-13,104410.38072318045
2014-02-14,104648.54061950174
2014-02-18,105432.3203500909
2014-02-19,104775.97692800315
2014-02-20,105186.99458385017
2014-02-21,105152.66147718375
2014-02-24,105457.66786900624
2014-02-25,105475.70937969946
2014-02-26,105512.92733077331
2014-02-27,105431.37827462115
2014-02-28,106024.4832182503
2014-03-03,105703.87122098706
2014-03-04,107175.72068830211
2014-03-05,107000.63674060687
2014-03-06,106252.1936300908
2014-03-07,105355.93347285147
2014-03-10,105064.92375362606
2014-03-11,104920.84295497045
2014-03-12,105331.31290839345
2014-03-13,104934.4964973475
2014-03-14,105332.06167854636
2014-03-17,105702.06360977309
2014-03-18,105944.78623267107
2014-03-19,104382.749411677
2014-03-20,104414.29458088732
2014-03-21,104610.8965716484
2014-03-24,104263.19287604152
2014-03-25,104980.52304884212
2014-03-26,104162.80613062088
2014-03-27,104885.71744516445
2014-03-28,105231.77859299384
2014-03-31,106294.15532182784
2014-04-01,105993.38574818433
2014-04-02,105942.4818281333
2014-04-03,106078.0234915377
2014-04-04,106457.36504919648
2014-04-07,106349.19063851108
2014-04-08,107470.42592594729
2014-04-09,107237.33009603227
2014-04-10,106494.34136261276
2014-04-11,106259.93225668633
2014-04-14,106915.57254878849
2014-04-15,108321.50085042595
2014-04-16,109091.3707276062
2014-04-17,108071.56243378429
2014-04-21,108089.3461639002
2014-04-22,108219.6839397175
2014-04-23,108345.75861827377
2014-04-24,108715.40065972434
2014-04-25,109060.27193048927
2014-04-28,109568.45165563733
2014-04-29,109357.43728090891
2014-04-30,109522.00322773476
2014-05-01,109523.00053506301
2014-05-02,108871.02759129046
2014-05-05,109191.96085611511
2014-05-06,108796.96032672815
2014-05-07,109968.69190252323
2014-05-08,108879.2630308351
2014-05-09,108795.97815306742
2014-05-12,109162.16268369059
2014-05-13,109169.94138511053
2014-05-14,108887.05850046284
2014-05-15,107960.98715881642
2014-05-16,108460.4825992404
2014-05-19,108295.91670671766
2014-05-20,107808.16571964194
2014-05-21,108155.68306441924
