,nav
2016-11-29,100000.0
2016-11-30,99804.2820372354
2016-12-01,99436.83906776061
2016-12-02,99617.17045995
2016-12-05,100264.41877172518
2016-12-06,100667.86156277933
2016-12-07,101898.15639950844
2016-12-08,102283.85297366205
2016-12-09,102673.50326671256
2016-12-12,102588.7182356477
2016-12-13,103088.78918729188
2016-12-14,102008.00859034534
2016-12-15,102376.17395256842
2016-12-16,102508.75672503207
2016-12-19,102852.84717046663
2016-12-20,103196.76790112758
2016-12-21,102858.24755729514
2016-12-22,102723.14593299941
2016-12-23,102905.87174140615
2016-12-27,103131.13903342946
2016-12-28,102318.07009767387
2016-12-29,102515.08986652415
2016-12-30,102238.80911724122
2017-01-03,103038.74682946251
2017-01-04,103840.03627070495
2017-01-05,103659.50596298608
2017-01-06,103719.94313580239
2017-01-09,103153.24446673488
2017-01-10,103185.74634886574
2017-01-11,103434.0197583716
2017-01-12,103271.6704377322
2017-01-13,103414.80125605839
2017-01-17,103332.231948429
2017-01-18,103472.16826518482
2017-01-19,103024.7880815677
2017-01-20,103381.47422657967
2017-01-23,103222.71378082543
2017-01-24,103818.27611796449
2017-01-25,104330.67487357397
2017-01-26,104285.41303231374
2017-01-27,104065.95891048868
2017-01-30,103393.17345036859
2017-01-31,103602.6415828556
2017-02-01,103217.20808519443
2017-02-02,103357.63128541007
2017-02-03,104016.21827053739
2017-02-06,103668.77861530584
2017-02-07,103485.65903258743
2017-02-08,103689.08733892326
2017-02-09,104219.33271221828
2017-02-10,104700.25710537662
2017-02-13,105032.73687012876
2017-02-14,105223.89920707421
2017-02-15,105489.46748301286
2017-02-16,105447.6869103619
2017-02-17,105587.95273802082
2017-02-21,106313.22534272519
2017-02-22,106152.4930757962
2017-02-23,106137.60463978504
2017-02-24,106288.30494865713
2017-02-27,106498.11403391015
2017-02-28,106119.25234715694
2017-03-01,107197.35268669542
2017-03-02,106591.5286295312
2017-03-03,106506.47399964645
2017-03-06,106105.97079570628
2017-03-07,105600.88463090958
2017-03-08,105028.70355283927
2017-03-09,104942.53952830992
2017-03-10,105246.03490432196
2017-03-13,105457.74213423756
2017-03-14,105028.5452989392
2017-03-15,106221.04906805395
2017-03-16,106027.34738975838
2017-03-17,106147.42591060483
2017-03-20,105957.01983122867
2017-03-21,104910.04615204633
2017-03-22,104928.51889483412
2017-03-23,104944.40049081488
2017-03-24,104863.34434631046
2017-03-27,104639.52056818307
2017-03-28,105280.4501297783
2017-03-29,105545.4757473425
2017-03-30,105811.69762026834
2017-03-31,105746.68997778336
2017-04-03,105518.25685955983
2017-04-04,105772.50018395323
2017-04-05,105521.70129138074
2017-04-06,105844.04061877869
2017-04-07,105815.58154382266
2017-04-10,106028.8798296489
2017-04-11,106112.53041377543
2017-04-12,105744.1267387229
2017-04-13,105045.59733763259
2017-04-17,105825.02659684158
2017-04-18,105677.09192132512
2017-04-19,105504.70798110479
2017-04-20,106038.92662031391
2017-04-21,105758.89989140531
2017-04-24,106522.20274136149
2017-04-25,107190.85903300412
2017-04-26,107152.91130797159
2017-04-27,107017.70985453439
2017-04-28,106567.20655943673
2017-05-01,106602.27021369517
2017-05-02,106551.54045271104
2017-05-03,106078.67056773997
2017-05-04,105818.38870843142
2017-05-05,106523.89416655968
2017-05-08,106407.6053556216
2017-05-09,106133.27376204277
2017-05-10,106416.96650706645
2017-05-11,106084.39864697469
2017-05-12,105964.28058728116
2017-05-15,106446.4875481215
2017-05-16,106248.74379341262
2017-05-17,104902.47753172577
2017-05-18,105190.8189623637
2017-05-19,105892.4511721785
2017-05-22,106358.28348297474
2017-05-23,106551.40594232906
2017-05-24,106773.44327466561
2017-05-25,107002.61197942661
2017-05-26,106970.90171512359
2017-05-30,106767.93647114838
2017-05-31,106780.92793717993
2017-06-01,107717.51704743275
2017-06-02,108017.52600591144
2017-06-05,107819.5072936599
2017-06-06,107648.14512781294
2017-06-07,107629.76650036854
2017-06-08,107665.4568141412
2017-06-09,108061.78292926475
2017-06-12,108198.24531009592
2017-06-13,108659.06318225776
2017-06-14,108446.91975391051
2017-06-15,108221.96899047936
2017-06-16,108328.71231280745
2017-06-19,108769.14744422126
2017-06-20,108066.63495055946
2017-06-21,107657.87220344567
2017-06-22,107622.03542091088
2017-06-23,107846.98357475927
2017-06-26,108076.94342014674
2017-06-27,107338.84255604348
2017-06-28,108051.7722980126
2017-06-29,107295.70958735533
2017-06-30,107489.21522646879
2017-07-03,107986.94751575406
2017-07-05,107651.72513491234
2017-07-06,106680.20627272231
2017-07-07,107128.06419184616
2017-07-10,107101.48125155515
2017-07-11,106986.01227617009
2017-07-12,107706.59074565418
2017-07-13,107785.03683146696
2017-07-14,108259.97382115207
2017-07-17,108437.78585313717
2017-07-18,108310.70280826912
2017-07-19,108980.02468059823
2017-07-20,109026.66673830028
2017-07-21,108991.74167195428
2017-07-24,108768.18390398931
2017-07-25,109206.88005104191
2017-07-26,109278.1921501186
2017-07-27,109489.03704559787
2017-07-28,109234.83424214431
2017-07-31,109214.8106248908
2017-08-01,109428.39629000673
2017-08-02,109266.2143200482
2017-08-03,108964.98743624722
2017-08-04,109284.06421677789
2017-08-07,109395.09519533864
2017-08-08,109102.88264004845
2017-08-09,108932.56508281993
2017-08-10,107831.68549042719
2017-08-11,107803.26202749318
2017-08-14,108680.04089781907
2017-08-15,108531.56564997086
2017-08-16,108712.81781359833
2017-08-17,107295.69673145429
2017-08-18,107143.28565465218
2017-08-21,107279.12220304835
2017-08-22,108079.63298360785
2017-08-23,108020.54968032648
2017-08-24,107860.7050504766
2017-08-25,108150.87844120659
2017-08-28,108094.77542592319
2017-08-29,108099.2635124077
2017-08-30,108434.53324154709
2017-08-31,108980.70992717022
2017-09-01,109366.06211666788
2017-09-05,108766.43644659594
2017-09-06,108951.06328347404
2017-09-07,108819.46652268637
2017-09-08,108726.16536987705
2017-09-11,109587.91363924669
2017-09-12,109861.77056776671
2017-09-13,109955.91120751957
2017-09-14,110085.29505126442
2017-09-15,110322.73954043927
2017-09-18,110480.06839396017
2017-09-19,110630.80974356996
2017-09-20,110715.30975721471
2017-09-21,110458.95145282066
2017-09-22,110466.48973807064
2017-09-25,110718.01066856977
2017-09-26,110666.29076164043
2017-09-27,110846.8011244029
2017-09-28,111048.47489196244
2017-09-29,111209.77280367976
2017-10-02,111679.91749311736
2017-10-03,111984.150108332
2017-10-04,112209.53235553087
2017-10-05,112596.6833129887
2017-10-06,112338.98738349907
2017-10-09,112144.35946623578
2017-10-10,112465.66259739235
2017-10-11,112581.40245127764
2017-10-12,112465.83343795122
2017-10-13,112449.47337665167
2017-10-16,112504.19459155975
2017-10-17,112487.30592582183
2017-10-18,112440.55098783308
2017-10-19,112544.71615835238
2017-10-20,112898.38352832032
2017-10-23,112436.09020499248
2017-10-24,112514.3675236458
2017-10-25,111987.65714809386
2017-10-26,112159.92611323552
2017-10-27,112604.81053721345
2017-10-30,112097.71252115235
2017-10-31,112326.32168549421
2017-11-01,112437.15714096146
2017-11-02,112307.59511964113
2017-11-03,112351.90380339626
2017-11-06,112448.92412128657
2017-11-07,112518.81575025113
2017-11-08,112610.49586164311
2017-11-09,112349.05529236121
2017-11-10,112311.31284562238
2017-11-13,112453.86422955386
2017-11-14,112185.47815184359
2017-11-15,111644.90586220338
2017-11-16,112495.77929388697
2017-11-17,112471.6177931512
2017-11-20,112606.97483667471
2017-11-21,113138.53360940615
2017-11-22,113228.006846798
2017-11-24,113412.23622161217
2017-11-27,113282.45430567788
2017-11-28,114237.80633930943
2017-11-29,114609.14143567788
2017-11-30,115379.36849490079
2017-12-01,115283.25230511375
2017-12-04,115428.13103659109
2017-12-05,114694.47104653882
2017-12-06,114291.68478141696
2017-12-07,114552.60060366592
2017-12-08,115162.90057932827
2017-12-11,115491.33221647328
2017-12-12,115538.19495041503
2017-12-13,115651.18726395916
2017-12-14,115107.428375223
2017-12-15,115814.21281384787
2017-12-18,116521.69862218684
