method,train_start,train_end,test_start,test_end,cumulative_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
drl,2005-01-01,2010-01-01,2011-01-01,2012-01-01,0.09900993791800583,0.09036623210025385,0.2046974206911965,0.5250361248404813,0.6710235309982321,-0.1731123006942895,0.5220093068940119
mvo,2005-01-01,2010-01-01,2011-01-01,2012-01-01,0.13811083608856167,0.12586284271152537,0.2067809600226506,0.6775668203486985,0.8066503833194494,-0.23130082764930138,0.5441521502134821
ew,2005-01-01,2010-01-01,2011-01-01,2012-01-01,0.09052985233905453,0.08265401297521424,0.22725813266135805,0.46323343144594753,0.5834387889449958,-0.1993389311682766,0.4146405947438332
drl,2006-01-01,2011-01-01,2012-01-01,2013-01-01,0.20608952474722897,0.18958575613682527,0.12204880682511487,1.4835189888413771,2.406458821341009,-0.07492157173087133,2.5304562058287243
mvo,2006-01-01,2011-01-01,2012-01-01,2013-01-01,0.06654395570434035,0.06150366298641119,0.11573837025728703,0.5733253391352678,0.9860025781490642,-0.10345402766837086,0.594502354065571
ew,2006-01-01,2011-01-01,2012-01-01,2013-01-01,0.2214860995695036,0.20364846594305397,0.13406184940394097,1.4496984372613086,2.336221420170036,-0.08464281438334442,2.4059746527417794
drl,2007-01-01,2012-01-01,2013-01-01,2014-01-01,0.2796421650813694,0.2555990018947212,0.10138132752612515,2.2966768338137142,3.23850001736305,-0.06305786720766526,4.053403852892297
mvo,2007-01-01,2012-01-01,2013-01-01,2014-01-01,0.2484599012102786,0.22732948403801867,0.1119510713362078,1.8863117383709365,2.6907166590864553,-0.0764299162424027,2.974352128256005
ew,2007-01-01,2012-01-01,2013-01-01,2014-01-01,0.30228724949425567,0.2760955357546393,0.10940194010882744,2.2841550404506163,3.220266200912775,-0.06810509163758172,4.053963207683057
drl,2008-01-01,2013-01-01,2014-01-01,2015-01-01,0.13919802686073623,0.12636086438353722,0.09643793560940567,1.2822765251699113,1.7115123384311492,-0.0664305038841363,1.9021512256466926
