,nav
2011-11-29,100000.0
2011-11-30,104034.58975676562
2011-12-01,103727.82667590167
2011-12-02,103738.1206906837
2011-12-05,104636.85458920927
2011-12-06,104778.73904442062
2011-12-07,104879.16855758648
2011-12-08,102687.4085376461
2011-12-09,104436.28633208762
2011-12-12,103089.05499559133
2011-12-13,102135.81056531062
2011-12-14,101134.99121086528
2011-12-15,101738.578676662
2011-12-16,102269.0648956164
2011-12-19,101115.97107993395
2011-12-20,103962.61699637122
2011-12-21,104331.5302867593
2011-12-22,105127.16142443643
2011-12-23,105814.6095225281
2011-12-27,106036.7531647302
2011-12-28,104682.46953363084
2011-12-29,105697.89842932977
2011-12-30,105452.09191635944
2012-01-03,106619.11020641022
2012-01-04,106393.4725816058
2012-01-05,106659.46856483098
2012-01-06,106416.97917135646
2012-01-09,106625.20664196005
2012-01-10,107571.77420865571
2012-01-11,107747.09441068079
2012-01-12,108007.56042864254
2012-01-13,107557.93214824326
2012-01-17,107854.7502995817
2012-01-18,108873.05117154024
2012-01-19,109237.85421823866
2012-01-20,109275.59181863136
2012-01-23,109344.41901159029
2012-01-24,109248.59050986764
2012-01-25,110277.32503657082
2012-01-26,109823.49464712969
2012-01-27,109849.5178346314
2012-01-30,109420.25053014918
2012-01-31,109473.9630340452
2012-02-01,110499.6647412748
2012-02-02,110731.66796726764
2012-02-03,112144.60051697755
2012-02-06,112070.44792036896
2012-02-07,112211.0534081499
2012-02-08,112401.09727318154
2012-02-09,112436.40429573528
2012-02-10,111611.57185218905
2012-02-13,112368.23037099175
2012-02-14,112096.40176806338
2012-02-15,111685.18659500273
2012-02-16,112910.33148111851
2012-02-17,113096.45262849091
2012-02-21,112876.45451416927
2012-02-22,112477.40309235336
2012-02-23,113153.40496931886
2012-02-24,113230.98913816738
2012-02-27,113318.59399012798
2012-02-28,113373.02158833398
2012-02-29,112798.78879487033
2012-03-01,113376.77903390113
2012-03-02,112968.19395117974
2012-03-05,112727.23231603381
2012-03-06,111184.1144342873
2012-03-07,111904.5337211037
2012-03-08,112804.09538102258
2012-03-09,113315.69640521723
2012-03-12,113352.82725165559
2012-03-13,115020.76747245245
2012-03-14,114600.38599143944
2012-03-15,115149.37480451525
2012-03-16,115313.06477999482
2012-03-19,115694.12622469422
2012-03-20,115308.5415204693
2012-03-21,115259.51316902437
2012-03-22,114362.80641560089
2012-03-23,114812.40588201075
2012-03-26,116094.65075931684
2012-03-27,115776.91529603046
2012-03-28,115093.72256186989
2012-03-29,115074.33919527679
2012-03-30,115438.86688934971
2012-04-02,116215.71261900976
2012-04-03,115844.03371720969
2012-04-04,114835.61954285085
2012-04-05,114559.65595986799
2012-04-09,113371.87173910609
2012-04-10,111463.16495325838
2012-04-11,112363.65076441219
2012-04-12,113781.55568933411
2012-04-13,112755.89810648862
2012-04-16,112911.36253813619
2012-04-17,114268.52642416125
2012-04-18,113832.05831075803
2012-04-19,113355.46463126286
2012-04-20,113808.33766527804
2012-04-23,112840.37751524965
2012-04-24,113416.01103894494
2012-04-25,114719.56956180329
2012-04-26,115324.74084954982
2012-04-27,115743.04880029584
2012-04-30,115368.73480730869
2012-05-01,115960.86406008873
2012-05-02,115734.01819468709
2012-05-03,114954.51083629823
2012-05-04,113555.10521274357
2012-05-07,113623.19957760189
2012-05-08,113325.72206815603
2012-05-09,112748.28482663969
2012-05-10,113022.23286008429
2012-05-11,112897.19531572716
2012-05-14,111732.81754102705
2012-05-15,111163.79272951614
2012-05-16,110702.71264101691
2012-05-17,109038.18714298573
2012-05-18,108331.8684598775
2012-05-21,109941.35049012906
2012-05-22,109954.84387971456
2012-05-23,110113.53406222472
2012-05-24,110396.41157745178
2012-05-25,110275.31107051404
2012-05-29,111440.02319299246
2012-05-30,109945.31439628413
2012-05-31,109868.28496669739
2012-06-01,107548.4644789251
2012-06-04,107508.6487697703
2012-06-05,108298.12484062838
2012-06-06,110381.35342184719
2012-06-07,110407.20841532097
2012-06-08,111198.7692547857
2012-06-11,109861.10108732531
2012-06-12,110966.90477778787
2012-06-13,110275.84637164108
2012-06-14,111409.57691353782
2012-06-15,112354.8791682149
2012-06-18,112634.77925159104
2012-06-19,113628.13136025215
2012-06-20,113297.96130129404
2012-06-21,111101.21556525743
2012-06-22,111763.94469450595
2012-06-25,110413.6439111307
2012-06-26,110864.77518353303
2012-06-27,111788.3127237237
2012-06-28,111845.49035904449
2012-06-29,114141.5256970769
2012-07-02,114794.11914348784
2012-07-03,115512.31886284119
2012-07-05,115108.22063157025
2012-07-06,114346.53773151795
2012-07-09,114139.65205753742
2012-07-10,113291.4837871548
2012-07-11,113337.44085823781
2012-07-12,112969.9711321407
2012-07-13,114509.32663220022
2012-07-16,114315.06494012057
2012-07-17,115113.36557180587
2012-07-18,115618.83551769418
2012-07-19,115651.2209774239
2012-07-20,114797.50799150913
2012-07-23,113733.26573542613
2012-07-24,112684.92680124781
2012-07-25,112614.13540153544
2012-07-26,114289.6142755277
2012-07-27,116224.16312454158
2012-07-30,116298.30263375162
2012-07-31,115793.81627397846
2012-08-01,115337.0208348072
2012-08-02,114654.65362605713
2012-08-03,116394.98030620745
2012-08-06,116717.5646814838
2012-08-07,116967.78851002496
2012-08-08,117108.73194991048
2012-08-09,117176.06237604115
2012-08-10,117479.5839444724
2012-08-13,117290.75909501374
2012-08-14,117286.76956319096
2012-08-15,117583.6070472961
2012-08-16,118229.33393647983
2012-08-17,118436.6184745513
2012-08-20,118251.07315114852
2012-08-21,117990.97285822232
2012-08-22,117885.05544350135
2012-08-23,117068.26474518064
2012-08-24,117655.44724929373
2012-08-27,117573.03766512702
2012-08-28,117606.45154121915
2012-08-29,117757.58009596632
2012-08-30,117039.09312859473
2012-08-31,117543.94262211167
2012-09-04,117642.84032391384
2012-09-05,117601.0642694006
2012-09-06,119532.78917949866
2012-09-07,119976.73893764835
2012-09-10,119558.12472996199
