,nav
2011-11-29,100000.0
2011-11-30,104389.70083479282
2011-12-01,104038.65728821741
2011-12-02,104060.26604055402
2011-12-05,105044.16001008345
2011-12-06,105200.97003924826
2011-12-07,105306.64305420559
2011-12-08,102879.84530177899
2011-12-09,104797.9201971439
2011-12-12,103293.96035014467
2011-12-13,102249.89150477314
2011-12-14,101204.86068690826
2011-12-15,101856.70478203638
2011-12-16,102429.74626493984
2011-12-19,101144.43563707388
2011-12-20,104195.28571953172
2011-12-21,104600.89146325145
2011-12-22,105462.04618778818
2011-12-23,106215.59064254831
2011-12-27,106450.60606389042
2011-12-28,104969.17655330914
2011-12-29,106068.70680529944
2011-12-30,105791.44347399038
2012-01-03,107056.87084713156
2012-01-04,106824.8662303074
2012-01-05,107134.27110122207
2012-01-06,106877.84513650036
2012-01-09,107105.91598446116
2012-01-10,108146.93662578752
2012-01-11,108354.33446687696
2012-01-12,108656.75352019328
2012-01-13,108162.2398215134
2012-01-17,108508.43550735852
2012-01-18,109632.63623154562
2012-01-19,110039.60167925642
2012-01-20,110067.50047923317
2012-01-23,110142.25131902556
2012-01-24,110054.85930442467
2012-01-25,111206.57055077488
2012-01-26,110740.77374666255
2012-01-27,110778.38377544677
2012-01-30,110307.34488686462
2012-01-31,110362.82368354344
2012-02-01,111483.5503423662
2012-02-02,111711.31420148924
2012-02-03,113255.94528582892
2012-02-06,113160.77304584526
2012-02-07,113319.11481047957
2012-02-08,113523.62770274568
2012-02-09,113548.23581274287
2012-02-10,112622.41116677492
2012-02-13,113473.78823098155
2012-02-14,113142.07334558788
2012-02-15,112667.9727078193
2012-02-16,114038.27005704351
2012-02-17,114244.12696472317
2012-02-21,114005.48899668912
2012-02-22,113566.64012259158
2012-02-23,114299.03802703538
2012-02-24,114386.36775856801
2012-02-27,114476.83220081407
2012-02-28,114525.22720792126
2012-02-29,113878.6068124016
2012-03-01,114528.77906524856
2012-03-02,114067.33796336727
2012-03-05,113793.06765953587
2012-03-06,112045.27273809325
2012-03-07,112840.57651196068
2012-03-08,113848.97760960349
2012-03-09,114411.47601435175
2012-03-12,114440.01766995211
2012-03-13,116312.21497478479
2012-03-14,115860.28747823094
2012-03-15,116466.51229574412
2012-03-16,116644.02953221138
2012-03-19,117075.58257750953
2012-03-20,116633.4390037922
2012-03-21,116583.79726950999
2012-03-22,115567.00363275265
2012-03-23,116081.3555130072
2012-03-26,117511.17315210313
2012-03-27,117158.2913620873
2012-03-28,116411.96540365074
2012-03-29,116377.77594747354
2012-03-30,116794.24148138717
2012-04-02,117667.02207338616
2012-04-03,117242.72761794744
2012-04-04,116115.67839267138
2012-04-05,115821.31514113197
2012-04-09,114486.0657291668
2012-04-10,112364.02444544582
2012-04-11,113371.10242666982
2012-04-12,114938.46123956755
2012-04-13,113801.12897398783
2012-04-16,113963.40233062588
2012-04-17,115476.15263019115
2012-04-18,114993.34401081075
2012-04-19,114477.46604520825
2012-04-20,114970.2177032008
2012-04-23,113881.89321734534
2012-04-24,114509.41549119989
2012-04-25,115951.64815857106
2012-04-26,116617.41440422929
2012-04-27,117075.23906263181
2012-04-30,116639.77442124141
2012-05-01,117291.42025477604
2012-05-02,117052.04245150991
2012-05-03,116188.72561237907
2012-05-04,114619.45266152825
2012-05-07,114712.65090846155
2012-05-08,114362.8728182074
2012-05-09,113713.57609257137
2012-05-10,114017.88504485463
2012-05-11,113873.26180274507
2012-05-14,112572.36580300846
2012-05-15,111938.92296089874
2012-05-16,111411.5078179908
2012-05-17,109523.14648003576
2012-05-18,108731.23601768404
2012-05-21,110540.29098166492
2012-05-22,110543.25764034325
2012-05-23,110741.60302094993
2012-05-24,111060.22431514539
2012-05-25,110913.93548441252
2012-05-29,112213.48787380048
2012-05-30,110520.8913601831
2012-05-31,110418.334788389
2012-06-01,107771.72573593946
2012-06-04,107707.35416498764
2012-06-05,108592.43458651594
2012-06-06,110906.6346762191
2012-06-07,110923.13859530062
2012-06-08,111800.36474359588
2012-06-11,110297.03509687846
2012-06-12,111529.00051168662
2012-06-13,110757.59608656386
2012-06-14,112011.7817610008
2012-06-15,113070.03900795282
2012-06-18,113384.38668938391
2012-06-19,114485.94494300403
2012-06-20,114136.85090279998
2012-06-21,111718.56154689153
2012-06-22,112445.07819281289
2012-06-25,110962.9792262216
2012-06-26,111454.66873839812
2012-06-27,112447.589406907
2012-06-28,112522.00310682923
2012-06-29,115096.23532075352
2012-07-02,115802.10495071074
2012-07-03,116606.41703477004
2012-07-05,116172.82347925284
2012-07-06,115344.49952799546
2012-07-09,115126.41030704162
2012-07-10,114174.43314655805
2012-07-11,114202.47180920004
2012-07-12,113797.00992856477
2012-07-13,115485.12649405123
2012-07-16,115268.16378878291
2012-07-17,116135.68071772612
2012-07-18,116683.73077567939
2012-07-19,116713.5241989144
2012-07-20,115757.95538537235
2012-07-23,114584.49842250097
2012-07-24,113433.64666645744
2012-07-25,113363.2963246698
2012-07-26,115185.42981643937
2012-07-27,117299.83540099327
2012-07-30,117373.96118328912
2012-07-31,116817.29072961546
2012-08-01,116303.19601844386
2012-08-02,115573.27968003076
2012-08-03,117483.5365807413
2012-08-06,117825.26794203241
2012-08-07,118110.24000474885
2012-08-08,118247.07444072573
2012-08-09,118321.82117187581
2012-08-10,118645.02262041827
2012-08-13,118432.82124563871
2012-08-14,118434.82238589686
2012-08-15,118764.94849582815
2012-08-16,119471.76436902786
2012-08-17,119704.62483006295
2012-08-20,119502.56419306697
2012-08-21,119230.7799118086
2012-08-22,119132.10378673443
2012-08-23,118237.14110379526
2012-08-24,118870.82155648548
2012-08-27,118781.46262680268
2012-08-28,118813.87409414278
2012-08-29,118985.68452507706
2012-08-30,118189.17846617232
2012-08-31,118750.2438562917
2012-09-04,118840.27339530023
2012-09-05,118787.5980880094
2012-09-06,120927.0930189119
2012-09-07,121460.3044582142
2012-09-10,120991.38676537655
2012-09-11,121288.76737787819
2012-09-12,121554.84483698993
2012-09-13,123390.32730155211
2012-09-14,123825.8609444864
2012-09-17,123294.30801815906
2012-09-18,123072.55733944396
2012-09-19,123271.74484985949
2012-09-20,123057.37541854582
2012-09-21,123184.59969131263
2012-09-24,122981.94566152798
2012-09-25,121685.58711300079
2012-09-26,121161.92651815563
2012-09-27,122150.70758051635
2012-09-28,121679.59431482399
2012-10-01,121794.3723717086
2012-10-02,122025.6966467577
2012-10-03,122285.35558530169
2012-10-04,123141.78151709618
2012-10-05,123225.12476272928
2012-10-08,122840.9854980167
2012-10-09,121767.70717773048
2012-10-10,121138.2249001967
2012-10-11,121447.41713168935
2012-10-12,120949.40462241822
2012-10-15,121785.44943152949
2012-10-16,122880.32797505909
2012-10-17,123546.79814071706
2012-10-18,123608.28545918441
2012-10-19,121711.80203406065
2012-10-22,121474.10217543814
2012-10-23,119894.40249102784
2012-10-24,119575.91668062778
2012-10-25,119756.20123044118
2012-10-26,119655.4003374443
2012-10-31,119913.47578845469
2012-11-01,121055.04736847241
2012-11-02,120077.94943370878
2012-11-05,120131.08576856198
2012-11-06,120935.33096783223
2012-11-07,118558.73900177114
2012-11-08,117199.94276830002
2012-11-09,117176.37666913531
2012-11-12,117076.89911626108
2012-11-13,116801.05282063603
2012-11-14,115059.64389053943
2012-11-15,114672.73156336822
2012-11-16,115383.22520405518
2012-11-19,117489.5013020874
2012-11-20,117611.29883881893
2012-11-21,117864.51562117359
2012-11-23,119165.52788167514
2012-11-26,119106.31182108975
2012-11-27,118683.38605741247
2012-11-28,119457.67809459893
2012-11-29,120189.82070463932
2012-11-30,120312.79363445044
2012-12-03,119814.0913120712
2012-12-04,119720.87594843004
2012-12-05,119923.66200574442
2012-12-06,120328.46421204676
2012-12-07,120720.2916938497
2012-12-10,120817.84761078101
2012-12-11,121546.40015263633
2012-12-12,121552.51782776514
2012-12-13,120920.45143229741
2012-12-14,120664.3642698798
2012-12-17,121910.3432505581
2012-12-18,123221.8896428069
2012-12-19,122541.03389339801
2012-12-20,123218.33301279249
