,nav
2016-11-29,100000.0
2016-11-30,100967.71853976288
2016-12-01,102467.06997053172
2016-12-02,101567.46402459434
2016-12-05,102766.93043163761
2016-12-06,103621.33950734264
2016-12-07,105154.46127545426
2016-12-08,105878.22158108519
2016-12-09,106072.95730978629
2016-12-12,105331.34540583275
2016-12-13,105605.86124863617
2016-12-14,104505.20387650117
2016-12-15,105280.13576525249
2016-12-16,104765.73605053179
2016-12-19,105098.41995910452
2016-12-20,105963.99035015136
2016-12-21,105698.44221288919
2016-12-22,105651.83937271268
2016-12-23,105885.49870146129
2016-12-27,106074.66533257072
2016-12-28,105049.66806633343
2016-12-29,104792.89720533081
2016-12-30,104779.35949891107
2017-01-03,105625.50469618881
2017-01-04,106585.97963706352
2017-01-05,105728.67584300498
2017-01-06,105721.40133600487
2017-01-09,104753.89269763499
2017-01-10,105118.79585315307
2017-01-11,105640.4543125105
2017-01-12,105104.64029155717
2017-01-13,105500.1170009636
2017-01-17,104182.25376004945
2017-01-18,104583.18059255874
2017-01-19,104195.26752475178
2017-01-20,104495.08754602529
2017-01-23,104216.48766366985
2017-01-24,105022.88342050393
2017-01-25,105839.24499098236
2017-01-26,105972.19653736864
2017-01-27,105736.45689026674
2017-01-30,104827.83127162047
2017-01-31,104538.44733479127
2017-02-01,103950.20831666542
2017-02-02,103672.35508124258
2017-02-03,104555.01190369006
2017-02-06,104187.95928015462
2017-02-07,103991.95288880567
2017-02-08,104015.63561607205
2017-02-09,104606.12123993026
2017-02-10,105020.45513355247
2017-02-13,105393.48313507884
2017-02-14,105682.50584451365
2017-02-15,106159.25594915322
2017-02-16,106197.89379378763
2017-02-17,106357.47379333623
2017-02-21,107111.19497298339
2017-02-22,107073.42247987146
2017-02-23,107273.47528316488
2017-02-24,107520.39481819698
2017-02-27,107726.64065454413
2017-02-28,107406.74079096824
2017-03-01,108357.64975852908
2017-03-02,108046.6362167023
2017-03-03,108122.27904655189
2017-03-06,107761.14549748019
2017-03-07,107510.30056979237
2017-03-08,107295.72475240155
2017-03-09,107471.94873187947
2017-03-10,107974.59223132202
2017-03-13,108095.36099458492
2017-03-14,107763.40385972032
2017-03-15,108896.30221938147
2017-03-16,108538.57678833959
2017-03-17,108502.14548350938
2017-03-20,108427.31399800279
2017-03-21,107468.69243915779
2017-03-22,107896.68506478993
2017-03-23,107620.24123732196
2017-03-24,107787.88835452226
2017-03-27,107764.93288047668
2017-03-28,108168.0226808384
2017-03-29,108256.11522823271
2017-03-30,108175.82004936998
2017-03-31,108197.04441295943
2017-04-03,107950.48533403054
2017-04-04,107969.17354174866
2017-04-05,107842.3990622926
2017-04-06,107893.24610350914
2017-04-07,107723.38537517084
2017-04-10,107809.30995242175
2017-04-11,107666.25959562503
2017-04-12,107693.66223318949
2017-04-13,107279.13700837873
2017-04-17,108019.62467795846
2017-04-18,107999.50238027208
